,,,,,,,,,,,,,,,,,,,,,
,,TAHUN (YYYY) : ,,,,,2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,002,REGIONAL : ,,,,,Regional.2,,,,,,,,,,,,,,
,RegP2,,,,,,,,,,,,,,,,,,,,
,38,CABANG / TERMINAL : ,,,,,Banten,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,,Utilisasi Infrastruktur,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Bulan,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,
,,,,,,,,,,,,,,,,,,,,,
,,No,Uraian,,,,,Satuan,2026,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total
,B22020700,,,7,Rubber Tyred Gantry Crane,,,%,,,,,,,,,,,,,
,B22020800,,,8,Automatic Stacking Crane,,,%,,,,,,,,,,,,,
,B22020900,,,9,Reach Stacker,,,%,,,,,,,,,,,,,
,B22021000,,,10,Side Loader,,,%,,,,,,,,,,,,,
,B22021100,,,11,Top Loader,,,%,,,,,,,,,,,,,
,B22021200,,,12,Head Truck,,,%,2.15,3.20,3.00,5.71,4.00,,,,,,,,3.61
,B22021300,,,13,Chassis,,,%,,,,,,,,,,,,,
,B22021400,,,14,Straddle Carrier,,,%,,,,,,,,,,,,,
,B22021500,,,15,Mobile Crane,,,%,,,,,,,,,,,,,
,B22021600,,,16,Fixed Crane,,,%,,,,,,,,,,,,,
,B22021700,,,17,Overhead Crane,,,%,,,,,,,,,,,,,
,B22021800,,,18,Hopper,,,%,15.29,22.73,9.85,16.25,26.46,,,,,,,,18.12
,B22021900,,,19,Excavator,,,%,6.76,6.57,2.04,5.71,7.14,,,,,,,,5.64
,B22022000,,,20,Ship to shore,,,%,,,,,,,,,,,,,
,B22022100,,,21,Conveyor,,,%,,,,,,,,,,,,,
,B22022200,,,22,Wheel Loader,,,%,4.84,4.66,4.11,4.05,8.09,,,,,,,,5.15
,B22022300,,,23,Bulldozer,,,%,,,,,,,,,,,,,
,B22022400,,,24,Dump Truck,,,%,,,,,,,,,,,,,
,B22022500,,,25,Tronton,,,%,,,,,,,,,,,,,
,B22022600,,,26,Forklift,,,%,2.28,2.00,3.49,0.00,,,,,,,,,1.94
,B22022700,,,27,Trailer,,,%,,,,,,,,,,,,,
,B22022800,,,28,Alat lainnya,,,%,,,,,,,,,,,,,
