,,,,,,,,,,,,,,,,,,,,,,
,,TAHUN (YYYY) : ,,,,,2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,002,REGIONAL : ,,,,,Regional.2,,,,,,,,,,,,,,,
,RegP2,,,,,,,,,,,,,,,,,,,,,
,38,CABANG / TERMINAL : ,,,,,Banten,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1,,Kinerja Pelayanan Kapal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Bulan,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,,
,,,,,,,,,,,,,,,,,,,,,,
,,No,Uraian,,,,,Satuan,2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total,
,F120504000000,,,4,Idle Time (IT),,,Jam,,,,,,,,,,,,,,
,F120505000000,,,5,Not Operation Time (NOT),,,Jam,,,,,,,,,,,,,,
,F120506000000,,,6,ET / BT,,,%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,3,KONSOLIDASI,,,,,,,,,,,,,,,,,,,
,,,1,Terminal Petikemas,,,,,,,,,,,,,,,,,,
,F130101000000,,,1,Berthing Time (BT),,,Jam,,,,,,,,,,,,,,
,F130102000000,,,2,Berth Working Time (BWT),,,Jam,,,,,,,,,,,,,,
,F130103000000,,,3,Effective Time (ET),,,Jam,,,,,,,,,,,,,,
,F130104000000,,,4,Idle Time (IT),,,Jam,,,,,,,,,,,,,,
,F130105000000,,,5,Not Operation Time (NOT),,,Jam,,,,,,,,,,,,,,
,F130106000000,,,6,ET / BT,,,%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,2,Terminal Multipurpose,,,,,,,,,,,,,,,,,,
,F130201000000,,,1,Berthing Time (BT),,,Jam,73.28,79.12,108.06,73.37,70.39,,,,,,,,80.84,
,F130202000000,,,2,Berth Working Time (BWT),,,Jam,62.59,65.19,98.06,85.56,61.24,,,,,,,,74.53,
,F130203000000,,,3,Effective Time (ET),,,Jam,34.38,41.00,58.27,39.53,39.93,,,,,,,,42.62,
,F130204000000,,,4,Idle Time (IT),,,Jam,10.97,11.47,9.30,8.89,7.20,,,,,,,,9.57,
,F130205000000,,,5,Not Operation Time (NOT),,,Jam,26.98,29.77,39.01,25.48,29.34,,,,,,,,30.12,
,F130206000000,,,6,ET / BT,,,%,51.46,53.71,52.92,53.26,56.56,,,,,,,,53.58,
,,,,,,,,,,,,,,,,,,,,,,
,,,3,Terminal Curah Cair,,,,,,,,,,,,,,,,,,
,F130301000000,,,1,Berthing Time (BT),,,Jam,28.75,26.52,29.24,29.70,22.61,,,,,,,,27.36,
,F130302000000,,,2,Berth Working Time (BWT),,,Jam,21.95,18.68,23.62,23.55,16.30,,,,,,,,20.82,
,F130303000000,,,3,Effective Time (ET),,,Jam,21.94,18.23,23.60,23.53,16.29,,,,,,,,20.72,
,F130304000000,,,4,Idle Time (IT),,,Jam,0.00,0.43,0.00,0.07,0.00,,,,,,,,0.10,
,F130305000000,,,5,Not Operation Time (NOT),,,Jam,6.80,7.84,5.62,6.15,6.31,,,,,,,,6.54,
,F130306000000,,,6,ET / BT,,,%,70.62,63.62,76.16,73.32,60.74,,,,,,,,68.89,
,,,,,,,,,,,,,,,,,,,,,,
,,,4,Terminal Curah Kering,,,,,,,,,,,,,,,,,,
,F130401000000,,,1,Berthing Time (BT),,,Jam,61.42,90.21,111.48,53.20,75.73,,,,,,,,78.41,
,F130402000000,,,2,Berth Working Time (BWT),,,Jam,47.03,81.20,102.31,43.90,68.53,,,,,,,,68.59,
,F130403000000,,,3,Effective Time (ET),,,Jam,31.87,43.47,56.88,33.64,41.63,,,,,,,,41.50,
,F130404000000,,,4,Idle Time (IT),,,Jam,10.62,29.98,25.85,3.12,11.77,,,,,,,,16.27,
,F130405000000,,,5,Not Operation Time (NOT),,,Jam,21.35,25.48,27.05,15.36,17.38,,,,,,,,21.32,
,F130406000000,,,6,ET / BT,,,%,53.21,49.73,47.89,64.93,54.69,,,,,,,,54.09,
,,,,,,,,,,,,,,,,,,,,,,
,,,5,Terminal Kendaraan,,,,,,,,,,,,,,,,,,
,F130501000000,,,1,Berthing Time (BT),,,Jam,,,,,,,,,,,,,,
,F130502000000,,,2,Berth Working Time (BWT),,,Jam,,,,,,,,,,,,,,
,F130503000000,,,3,Effective Time (ET),,,Jam,,,,,,,,,,,,,,
,F130504000000,,,4,Idle Time (IT),,,Jam,,,,,,,,,,,,,,
,F130505000000,,,5,Not Operation Time (NOT),,,Jam,,,,,,,,,,,,,,
,F130506000000,,,6,ET / BT,,,%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
3,,Kinerja Pelayanan Petikemas,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,No,Uraian,,,,,Satuan,2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total,
,,1,2,,,,,3,4,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,
,,1,KINERJA OPERASI DERMAGA,,,,,,,,,,,,,,,,,,,
,,,1,Luar negeri,,,,,,,,,,,,,,,,,,
,,,,1,Bongkar muat per crane,,,,,,,,,,,,,,,,,
,B110101010000,,,,1,BCH (ET),,bph,,,,,,,,,,,,,,
,B110101020000,,,,2,BCH (BWT),,bph,,,,,,,,,,,,,,
,B110101030000,,,,3,BCH Gross / GCR (BT),,bph,,,,,,,,,,,,,,
,,,,2,Bongkar muat per kapal,,,,,,,,,,,,,,,,,
,B110102010000,,,,1,BSH (ET),,bph,,,,,,,,,,,,,,
,B110102020000,,,,2,BSH (BWT),,bph,,,,,,,,,,,,,,
,B110102030000,,,,3,BSH Gross / VOR (BT),,bph,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,2,Dalam negeri,,,,,,,,,,,,,,,,,,
,,,,1,Bongkar muat per crane,,,,,,,,,,,,,,,,,
,B110201010000,,,,1,BCH (ET),,bph,,,,,,,,,,,,,,
,B110201020000,,,,2,BCH (BWT),,bph,,,,,,,,,,,,,,
,B110201030000,,,,3,BCH Gross / GCR (BT),,bph,,,,,,,,,,,,,,
,,,,2,Bongkar muat per kapal,,,,,,,,,,,,,,,,,
,B110202010000,,,,1,BSH (ET),,bph,,,,,,,,,,,,,,
,B110202020000,,,,2,BSH (BWT),,bph,,,,,,,,,,,,,,
,B110202030000,,,,3,BSH Gross / VOR (BT),,bph,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,3,Kinerja non ship crane dalam negeri,,,,,,,,,,,,,,,,,,
,,,,1,Bongkar muat per crane,,,,,,,,,,,,,,,,,
,B110301010000,,,,1,BCH (ET),,bph,,,,,,,,,,,,,,
,B110301020000,,,,2,BCH (BWT),,bph,,,,,,,,,,,,,,
,B110301030000,,,,3,BCH Gross / GCR (BT),,bph,,,,,,,,,,,,,,
,,,,2,Bongkar muat per kapal,,,,,,,,,,,,,,,,,
,B110302010000,,,,1,BSH (ET),,bph,,,,,,,,,,,,,,
,B110302020000,,,,2,BSH (BWT),,bph,,,,,,,,,,,,,,
,B110302030000,,,,3,BSH Gross / VOR (BT),,bph,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,2,KINERJA OPERASI LAPANGAN,,,,,,,,,,,,,,,,,,,
,,,1,Luar Negeri,,,,,,,,,,,,,,,,,,
,,,,1,Impor,,,,,,,,,,,,,,,,,
,B120101010000,,,,1,Dwelling Time,,hari,,,,,,,,,,,,,,
,B120101010100,,,,,1,Full,hari,,,,,,,,,,,,,,
,B120101010200,,,,,2,Empty,hari,,,,,,,,,,,,,,
,B120101020000,,,,2,External Truck Round Time,,menit,,,,,,,,,,,,,,
,B120101020100,,,,,1,Delivery Full,menit,,,,,,,,,,,,,,
,B120101020200,,,,,2,Delivery Empty,menit,,,,,,,,,,,,,,
,,,,2,Ekspor,,,,,,,,,,,,,,,,,
,B120102010000,,,,1,Dwelling Time,,hari,,,,,,,,,,,,,,
,B120102010100,,,,,1,Full,hari,,,,,,,,,,,,,,
,B120102010200,,,,,2,Empty,hari,,,,,,,,,,,,,,
,B120102020000,,,,2,External Truck Round Time,,menit,,,,,,,,,,,,,,
,B120102020100,,,,,1,Receiving Full,menit,,,,,,,,,,,,,,
,B120102020200,,,,,2,Receiving Empty,menit,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,B120103000000,,,Dwelling Time Rekap Luar Negeri,,,,hari,,,,,,,,,,,,,,
,B120104000000,,,External Truck Round Time Rekap Luar Negeri,,,,menit,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,2,Dalam Negeri,,,,,,,,,,,,,,,,,,
,,,,1,Bongkar,,,,,,,,,,,,,,,,,
,B120201010000,,,,1,Dwelling Time,,hari,,,,,,,,,,,,,,
,B120201010100,,,,,1,Full,hari,,,,,,,,,,,,,,
,B120201010200,,,,,2,Empty,hari,,,,,,,,,,,,,,
,B120201020000,,,,2,External Truck Round Time,,menit,,,,,,,,,,,,,,
,B120201020100,,,,,1,Delivery Full,menit,,,,,,,,,,,,,,
,B120201020200,,,,,2,Delivery Empty,menit,,,,,,,,,,,,,,
,,,,2,Muat,,,,,,,,,,,,,,,,,
,B120202010000,,,,1,Dwelling Time,,hari,,,,,,,,,,,,,,
,B120202010100,,,,,1,Full,hari,,,,,,,,,,,,,,
,B120202010200,,,,,2,Empty,hari,,,,,,,,,,,,,,
,B120202020000,,,,2,External Truck Round Time,,menit,,,,,,,,,,,,,,
,B120202020100,,,,,1,Receiving Full,menit,,,,,,,,,,,,,,
,B120202020200,,,,,2,Receiving Empty,menit,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,B120203000000,,,Dwelling Time Dalam Negeri,,,,hari,,,,,,,,,,,,,,
,B120204000000,,,External Truck Round Time Dalam Negeri,,,,menit,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,B120300000000,,Dwelling Time Konsolidasi,,,,,hari,,,,,,,,,,,,,,
,B120400000000,,External Truck Round Time Konsolidasi,,,,,menit,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
4,,Kinerja Pelayanan Non Petikemas,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,No,Uraian,,,,,Satuan,2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total,
,,1,2,,,,,3,4,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,
,,1,LUAR NEGERI,,,,,,,,,,,,,,,,,,,
,,,1,Terminal Multipurpose,,,,,,,,,,,,,,,,,,
,D110101000000,,,1,General Cargo,,,T/G/H,391.55,184.26,373.58,122.69,145.78,,,,,,,,243.57,
,D110101000000,,,,,,,T/S/D,"5,872.92","3,612.68","3,516.82","3,429.28","4,033.64",,,,,,,,"4,093.07",
,D110102000000,,,2,Bag Cargo,,,T/G/H,,,,,,,,,,,,,,
,D110102000000,,,,,,,T/S/D,,,,,,,,,,,,,,
,D110103000000,,,3,Curah Cair,,,T/G/H,178.04,,,286.46,435.31,,,,,,,,299.94,
,D110103000000,,,,,,,T/S/D,"1,608.00",,,"5,580.72","8,875.68",,,,,,,,"5,354.80",
,D110103010000,,,,1,Melalui truk,,T/G/H,,,,,,,,,,,,,,
,D110103010000,,,,,,,T/S/D,,,,,,,,,,,,,,
,D110103020000,,,,2,Melalui pipa,,T/G/H,,,,,,,,,,,,,,
,D110103020000,,,,,,,T/S/D,,,,,,,,,,,,,,
,D110104000000,,,4,Curah Kering,,,T/G/H,350.87,,,,,,,,,,,,350.87,
,D110104000000,,,,,,,T/S/D,"6,957.36",,,,,,,,,,,,"6,957.36",
,D110104010000,,,,1,Melalui truk,,T/G/H,,,,,,,,,,,,,,
,D110104010000,,,,,,,T/S/D,,,,,,,,,,,,,,
,D110104020000,,,,2,Melalui pipa,,T/G/H,,,,,,,,,,,,,,
,D110104020000,,,,,,,T/S/D,,,,,,,,,,,,,,
,D110104030000,,,,3,Melalui konveyor,,T/G/H,,,,,,,,,,,,,,
,D110104030000,,,,,,,T/S/D,,,,,,,,,,,,,,
,D110200000000,,2,Terminal Curah Cair,,,,T/G/H,175.27,167.77,329.95,284.92,227.23,,,,,,,,237.03,
,D110200000000,,,,,,,T/S/D,"2,991.50","2,349.90","3,737.28","3,157.23","2,511.89",,,,,,,,"2,949.56",
,D110201000000,,,,1,Melalui truk,,T/G/H,,,,,,,,,,,,,,
,D110201000000,,,,,,,T/S/D,,,,,,,,,,,,,,
,D110202000000,,,,2,Melalui pipa,,T/G/H,,,,,,,,,,,,,,
,D110202000000,,,,,,,T/S/D,,,,,,,,,,,,,,
,D110300000000,,3,Terminal Curah Kering,,,,T/G/H,328.72,196.21,301.14,136.78,245.61,,,,,,,,241.69,
,D110300000000,,,,,,,T/S/D,"7,054.20","6,640.15","8,254.48","6,884.88","8,921.82",,,,,,,,"7,551.11",
,D110301000000,,,,1,Melalui truk,,T/G/H,,,,,,,,,,,,,,
,D110301000000,,,,,,,T/S/D,,,,,,,,,,,,,,
,D110302000000,,,,2,Melalui pipa,,T/G/H,,,,,,,,,,,,,,
,D110302000000,,,,,,,T/S/D,,,,,,,,,,,,,,
,D110303000000,,,,3,Melalui konveyor,,T/G/H,,,,,,,,,,,,,,
,D110303000000,,,,,,,T/S/D,,,,,,,,,,,,,,
,D110400000000,,4,B/M Terminal Kendaraan,,,,U/G/H,,,,,,,,,,,,,,
,D110400000000,,,,,,,U/S/D,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,2,DALAM NEGERI,,,,,,,,,,,,,,,,,,,
,,,1,Terminal Multipurpose,,,,,,,,,,,,,,,,,,
,D120101000000,,,1,General Cargo,,,T/G/H,133.81,96.45,38.54,39.64,311.82,,,,,,,,124.05,
,D120101000000,,,,,,,T/S/D,368.64,836.28,260.64,555.60,"1,415.95",,,,,,,,687.42,
,D120102000000,,,2,Bag Cargo,,,T/G/H,97.90,40.56,46.50,23.62,25.29,,,,,,,,46.77,
,D120102000000,,,,,,,T/S/D,908.40,571.32,714.00,233.28,400.32,,,,,,,,565.46,
,D120103000000,,,3,Curah Cair,,,T/G/H,,,,141.37,149.17,,,,,,,,145.27,
,D120103000000,,,,,,,T/S/D,,,,"1,726.32","2,511.76",,,,,,,,"2,119.04",
,D120103010000,,,,1,Melalui truk,,T/G/H,,,,,,,,,,,,,,
,D120103010000,,,,,,,T/S/D,,,,,,,,,,,,,,
,D120103020000,,,,2,Melalui pipa,,T/G/H,,,,,,,,,,,,,,
,D120103020000,,,,,,,T/S/D,,,,,,,,,,,,,,
,D120104000000,,,4,Curah Kering,,,T/G/H,368.47,248.89,162.39,214.21,198.91,,,,,,,,238.57,
,D120104000000,,,,,,,T/S/D,"3,856.89","3,438.44","2,526.12","2,848.29","2,694.48",,,,,,,,"3,072.84",
,D120104010000,,,,1,Melalui truk,,T/G/H,,,,,,,,,,,,,,
,D120104010000,,,,,,,T/S/D,,,,,,,,,,,,,,
,D120104020000,,,,2,Melalui pipa,,T/G/H,,,,,,,,,,,,,,
,D120104020000,,,,,,,T/S/D,,,,,,,,,,,,,,
,D120104030000,,,,3,Melalui konveyor,,T/G/H,,,,,,,,,,,,,,
,D120104030000,,,,,,,T/S/D,,,,,,,,,,,,,,
,D120200000000,,2,Terminal Curah Cair,,,,T/G/H,172.63,163.95,162.71,163.65,142.00,,,,,,,,160.99,
