,,Version : 3.1,,,,,,,,,,,,,,,,,,,,,
,,TAHUN (YYYY) : ,,,,,2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,002,REGIONAL : ,,,,,Regional.2,,,,,,,,,,,,,,,,
,RegP2,,,,,,,,,,,,,,,,,,,,,,
,38,CABANG / TERMINAL : ,,,,,Banten,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,,"Kunjungan Kapal Berdasarkan Lokasi Sandar, Jenis Pelayaran dan Jenis Muatan Kapal",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Bulan,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,No,Uraian,,,,,Satuan,2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total,,
,,1,2,,,,,3,4,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,DERMAGA UMUM,,,,,,,,,,,,,,,,,,,,
,A010300000000,,3,Pelayaran Perintis,,,,Call,,,,,,,,,,,,,0.00,,
,A010300000000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,,,,,,,,,,,,,,,,,,,,,,,
,A010400000000,,4,Pelayaran Rakyat,,,,Call,,,,,,,,,,,,,0.00,,
,A010400000000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,,,,,,,,,61.00,97.00,356.00,186.00,171.00,,,,,,0.00,0.00,,,
,,,5,Pelayaran Lainnya,,,,,"140,408.00","196,329.00","2,268,171.00","366,641.00","381,798.00",,,,,,0.00,0.00,,,
,A010501000000,,,1,Kapal Negara,,,Call,,,,,,,,,,,,,0.00,,
,A010501000000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A010502000000,,,2,Kapal Survey,,,Call,,,,,,,,,,,,,0.00,,
,A010502000000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A010503000000,,,3,Kapal Utilitas / Suplai,,,Call,,,,,,,,,,,,,0.00,,
,A010503000000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A010504000000,,,4,Kapal Lainnya,,,Call,,,6.00,1.00,1.00,,,,,,,,8.00,,
,A010504000000,,,,,,,GT,,,"6,793.00",460.00,"2,744.00",,,,,,,,"9,997.00",,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Jumlah kunjungan kapal di DERMAGA UMUM,,,,,Call,69.00,119.00,335.00,128.00,123.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,774.00,,
,,,,,,,,GT,"378,287.00","616,564.00","2,630,101.00","706,268.00","653,472.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,984,692.00",,
,,,,,,,,,,,,,,,,,,,,,,,
