,,,,,,,,,,,,,,,,,,,,,
,,TAHUN (YYYY) : ,,,,,2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,002,REGIONAL : ,,,,,Regional.2,,,,,,,,,,,,,,
,RegP2,,,,,,,,,,,,,,,,,,,,
,38,CABANG / TERMINAL : ,,,,,Banten,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Bulan,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,
,,,,,,,,,,,,,,,,,,,,,
,,No,Uraian,,,,,Satuan,2026,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total
,,1,2,,,,,3,4,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,
,403.01.04.01.01.00.00.00.00,,,,1,Stevedoring,,Ton,,,,,,,,,,,,,0.00
,403.01.04.01.01.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,403.01.04.01.01.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,403.01.04.01.02.00.00.00.00,,,,2,Cargodoring,,Ton,,,,,,,,,,,,,0.00
,403.01.04.01.02.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,403.01.04.01.02.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,403.01.04.01.03.00.00.00.00,,,,3,Receiving/Delivery,,Ton,,,,,,,,,,,,,0.00
,403.01.04.01.03.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,403.01.04.02.00.00.00.00.00,,,2,Kerjasama Pelayanan B/M,,,Ton,"31,173.00","77,246.27","50,277.00","136,222.00","94,364.00",,,,,,,,"389,282.27"
,403.01.04.02.00.00.00.00.00,,,,,,,M3,"62,776.00","23,676.00","88,806.00","1,464.00","14,772.00",,,,,,,,"191,494.00"
,403.01.04.03.00.00.00.00.00,,,3,Pelayanan Kade Lossing ,,,Ton,,,,,,,,,,,,,0.00
,403.01.04.03.00.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,403.01.04.04.00.00.00.00.00,,,4,Overbrengen,,,Ton,,,,,,,,,,,,,0.00
,403.01.04.04.00.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,403.01.04.04.00.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,403.01.04.05.00.00.00.00.00,,,5,Roll On Roll Off (Ro Ro),,,Unit,,,,,,,,,,,,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,4,PELAYANAN BARANG NON PETIKEMAS CURAH KERING,,,,,,,,,,,,,,,,,,
,403.02.01.00.00.00.00.00.00,,1,Dermaga,,,,Ton,"154,139.80","299,097.48","178,024.00","148,540.13","263,060.00",,,,,,,,"1,042,861.41"
,403.02.01.00.00.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,403.02.02.00.00.00.00.00.00,,2,Gudang Penumpukan Diusahakan,,,,Ton Hari,,,,"25,095.00",,,,,,,,,"25,095.00"
